Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal_Attack,ATT_FLAG
2015-12-28 10:00:00,2.427057,522.8467,2,2,1,262.0161,8.396437,328.6337,2.445391,2,1,1,2,1,2,1,19.74838,2.206835,956.1651,1,2,1,1,1,2,148.808,156.0882,1.713517,942.0662,1,2,1,1,2,7.878621,145.1166,264.5475,12.03538,1.723789,1.279621,0.7352687,0.3077859,2,1,250.8652,1.649953,189.5988,0.000128152,1,1,1,Normal,0
2015-12-28 10:01:40,2.476059,525.0842,2,2,1,261.9841,8.39163,328.4286,2.444751,2,1,1,2,1,2,1,19.66195,2.209525,960.3708,1,2,1,1,1,2,148.808,156.1907,1.715311,951.6791,1,2,1,1,2,7.877019,145.0397,264.2592,12.07383,1.723404,1.286666,0.7378293,0.3084265,2,1,250.8011,1.649953,189.5027,0.000128152,1,1,1,Normal,0
2015-12-28 10:03:20,2.54652,526.8898,2,2,1,262.0802,8.391951,328.2748,2.441547,2,1,1,2,1,2,1,19.67796,2.214906,964.9369,1,2,1,1,1,2,148.808,155.9087,1.71262,959.254,1,2,1,1,2,7.875737,144.7578,264.131,12.03538,1.72507,1.30178,0.7353967,0.3083624,2,1,250.785,1.649953,189.5187,0.000128152,1,1,1,Normal,0
2015-12-28 10:05:00,2.5699,528.2244,2,2,1,262.1764,8.394514,328.0441,2.439496,2,1,1,2,1,2,1,19.75799,2.209525,969.3428,1,2,1,1,1,2,148.808,155.9344,1.714029,965.6755,1,2,1,1,2,7.877339,144.8859,263.9067,12.07383,1.727634,1.261944,0.7351407,0.3066329,2,1,251.1055,1.681991,189.759,0.000128152,1,1,1,Normal,0
2015-12-28 10:06:40,2.637158,527.9496,2,2,1,262.0802,8.393873,328.0441,2.440265,2,1,1,2,1,2,1,19.61393,2.209269,975.1506,1,2,1,1,1,2,148.808,155.7293,1.716849,973.2889,1,2,1,1,2,7.879582,144.8603,263.7465,12.15073,1.729172,1.306648,0.736421,0.3068891,2,1,251.0254,1.681991,189.727,0.000128152,1,1,1,Normal,0
2015-12-28 10:08:20,2.504884,532.3851,2,2,1,262.1764,8.396437,328.0954,2.440393,2,1,1,2,1,2,1,19.73558,2.206963,978.2748,1,2,1,1,1,2,148.808,155.7293,1.719284,983.1325,1,2,1,1,2,7.880544,145.091,263.4901,12.22763,1.729172,1.279365,0.7353967,0.3065048,2,1,250.9613,1.842181,189.759,0.000128152,1,1,1,Normal,0
2015-12-28 10:10:00,2.446594,533.759,2,2,1,262.1764,8.396116,327.8647,2.439625,2,1,1,2,1,2,1,19.67155,2.212343,986.6461,1,2,1,1,1,2,148.808,155.7806,1.720565,990.9382,1,2,1,1,2,7.880544,145.0397,263.1377,12.15073,1.728659,1.297169,0.7355248,0.3075937,2,1,250.8972,1.649953,189.6789,0.000128152,1,1,1,Normal,0
2015-12-28 10:11:40,2.485988,538.2731,2,2,1,262.1764,8.395475,327.7108,2.442444,2,1,1,2,1,2,1,19.57552,2.210166,988.5687,1,2,1,1,1,2,148.808,155.7037,1.717489,999.0131,1,2,1,1,2,7.878942,144.8347,263.362,12.11228,1.728019,1.271679,0.7352687,0.3064407,2,1,250.9453,1.730048,189.727,0.000128152,1,1,1,Normal,0
2015-12-28 10:13:20,2.553246,558.3705,2,1,1,262.1764,8.46533,316.2522,0,1,1,1,1,1,1,1,2.032781,0,1011.359,1,1,1,1,1,1,148.808,155.7293,1.717874,977.4417,1,2,1,1,2,7.878942,144.9116,263.0415,11.95847,1.726352,1.301396,0.7352687,0.3083624,2,1,250.6569,1.69801,189.4867,0.000128152,1,1,1,Normal,0
2015-12-28 10:15:00,2.551645,606.4158,2,1,1,262.3686,8.459562,315.3294,0,1,1,1,1,1,1,1,2.010372,0,1010.518,1,1,1,1,1,1,148.808,155.4217,1.713517,942.6429,1,2,1,1,2,7.878942,144.4501,263.0415,12.07383,1.726993,1.301012,0.7353967,0.3084265,2,1,250.4326,1.681991,189.2464,0.000128152,1,1,1,Normal,0
